	Motif_ID	TF_Names
79	M00184_2.00	Esr1;Esr2;Hnf4a;Hnf4g;Nr1d1;Nr1d2;Nr1h2;Nr1h3;Nr1h4;Nr1h5;Nr2c1;Nr2c2;Nr2f1;Nr2f2;Nr2f6;Nr4a1;Nr4a2;Nr4a3;Nr5a2;Nr6a1;Ppara;Ppard;Pparg;Rara;Rarb;Rarg;Rora;Rorb;Rorc;Rxra;Rxrb;Rxrg;Thra;Thrb
80	M00185_2.00	Esr1;Esr2;Nr1d1;Nr1d2;Nr1h2;Nr1h3;Nr1h4;Nr1h5;Nr2c1;Nr2c2;Nr2f1;Nr2f2;Nr2f6;Nr4a1;Nr5a2;Nr6a1;Ppara;Ppard;Pparg;Rara;Rarb;Rarg;Rora;Rorb;Rorc;Rxra;Rxrb;Rxrg
81	M00186_2.00	Rfx1;Rfx2;Rfx3;Rfx4;Rfx6;Rfx8
82	M00187_2.00	Rfx5;Rfx7
83	M00188_2.00	Rfx1;Rfx2;Rfx3;Rfx4;Rfx6;Rfx8
84	M00189_2.00	Sp100
85	M00190_2.00	Gmeb1;Gmeb2
86	M00191_2.00	Sp140;XP_001473574.2
87	M00192_2.00	Smad3;Smad9
88	M00193_2.00	Lef1;Tcf7;Tcf7l1;Tcf7l2
89	M00194_2.00	Hbp1
90	M00195_2.00	Bbx;Cic
91	M00196_2.00	Bbx;Cic
92	M00197_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
93	M00198_2.00	Lef1;Tcf7;Tcf7l1;Tcf7l2
94	M00199_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
95	M00200_2.00	Lef1;Tcf7;Tcf7l1;Tcf7l2
96	M00201_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
97	M00202_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
98	M00203_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
99	M00204_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
100	M00205_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
101	M00206_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
102	M00207_2.00	Lef1;Tcf7;Tcf7l1;Tcf7l2
103	M00208_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
104	M00209_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
105	M00210_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
106	M00211_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
107	M00212_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
108	M00213_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
109	M00214_2.00	Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox30;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
110	M00215_2.00	Eomes;Tbr1;Tbx21;Tbx5
111	M00216_2.00	Tbp;Tbpl2
