	Motif_ID	TF_Names
196	M00464_2.00	Vax2
197	M00465_2.00	Lbx2
198	M00466_2.00	Nkx6-1
199	M00467_2.00	Arx
200	M00468_2.00	Pknox2
201	M00469_2.00	Gsx2
202	M00470_2.00	Hoxc9
203	M00471_2.00	Alx1
204	M00472_2.00	Alx1
205	M00473_2.00	Hoxa13
206	M00474_2.00	Hoxa11
207	M00475_2.00	Hoxa9
208	M00476_2.00	Hoxa7
209	M00477_2.00	Hoxa7
210	M00478_2.00	Hoxa5
211	M00479_2.00	Hoxb4
212	M00480_2.00	Hoxb5
213	M00481_2.00	Hoxb7
214	M00482_2.00	Lmx1b
215	M00483_2.00	Six3
216	M00484_2.00	En2
217	M00485_2.00	Hlx
218	M00486_2.00	Prrx2
219	M00487_2.00	Alx4
220	M00488_2.00	Meis3
221	M00489_2.00	Crx
222	M00490_2.00	Obox6;Obox8
223	M00491_2.00	Dlx1
224	M00492_2.00	Hoxd1
225	M00493_2.00	Hoxd11
226	M00494_2.00	Hoxa6
227	M00495_2.00	Emx2
228	M00496_2.00	Nkx2-6
229	M00497_2.00	Nkx2-3
230	M00498_2.00	Prop1
231	M00499_2.00	Dbx2
232	M00500_2.00	Tgif1
233	M00501_2.00	Msx1
234	M00502_2.00	Duxbl1;Duxbl2;Duxbl3
235	M00503_2.00	Nkx1-2
236	M00504_2.00	Hoxb3
237	M00505_2.00	Hoxb13
238	M00506_2.00	Nkx3-2
239	M00507_2.00	Hmx2
240	M00508_2.00	Hoxc12
241	M00509_2.00	Hoxd10
242	M00510_2.00	Rhox11
243	M00511_2.00	Rhox11
244	M00512_2.00	Six1
245	M00513_2.00	Pbx1
246	M00514_2.00	Nkx2-4
247	M00515_2.00	Obox1
248	M00516_2.00	Bsx
249	M00517_2.00	Hoxb8
250	M00518_2.00	Homez
251	M00519_2.00	En1
252	M00520_2.00	Nkx2-9
253	M00521_2.00	Tgif2
254	M00522_2.00	Nkx6-3
255	M00523_2.00	Obox3
256	M00524_2.00	Hmx1
257	M00525_2.00	Gbx1
258	M00526_2.00	Tlx1;Tlx2
259	M00527_2.00	Obox5;Obox7
260	M00528_2.00	Obox5
261	M00529_2.00	Q8VHG7_MOUSE
262	M00530_2.00	Hoxc4
263	M00531_2.00	Hoxd3
264	M00532_2.00	Hoxa3
265	M00533_2.00	Cphx1;Cphx2;Cphx3
266	M00534_2.00	Lhx8
267	M00535_2.00	XP_003689450.1
268	M00538_2.00	Hoxd12
269	M00540_2.00	Pax6
270	M00541_2.00	Pax7
271	M00542_2.00	Pax4
272	M00543_2.00	Pou1f1
273	M00544_2.00	Pou2f2
274	M00545_2.00	ENSMUSG00000098598;Pou6f1
275	M00546_2.00	Pou6f1
276	M00547_2.00	Pou4f3
277	M00548_2.00	Pou2f1
278	M00549_2.00	Pou2f3
279	M00550_2.00	Pou3f4
280	M00551_2.00	Pou3f1
281	M00552_2.00	Pou3f2
282	M00553_2.00	Pou3f3
283	M00750_2.00	Ahctf1
284	M00751_2.00	Hmga2
285	M00752_2.00	Mlx
286	M00753_2.00	Tcf3
287	M00754_2.00	Srebf1
288	M00755_2.00	Tfec
289	M00756_2.00	Nhlh2
290	M00757_2.00	Xbp1
291	M00758_2.00	Atf3
292	M00759_2.00	Atf4
293	M00760_2.00	Junb
294	M00761_2.00	Cebpb
295	M00762_2.00	Dbp
296	M00763_2.00	XP_002726925.1
297	M00764_2.00	Zscan20
298	M00765_2.00	Sp1
299	M00766_2.00	Zfp263
300	M00767_2.00	Zscan10
301	M00768_2.00	Zscan10
302	M00769_2.00	Zscan10
303	M00770_2.00	Zfp202
304	M00771_2.00	Zkscan1
305	M00772_2.00	Mzf1
306	M00773_2.00	Mzf1
307	M00774_2.00	Zfp300
308	M00775_2.00	Zbtb1
309	M00776_2.00	Egr3
310	M00777_2.00	Klf9
311	M00778_2.00	Egr2
312	M00779_2.00	Klf8
313	M00780_2.00	Zic5
314	M00781_2.00	Snai1
315	M00782_2.00	Zfp3
316	M00783_2.00	Dnajc21
317	M00784_2.00	Zfp740
318	M00785_2.00	Zkscan5
319	M00786_2.00	Zfp637
320	M00787_2.00	Klf12
321	M00788_2.00	Zfx
322	M00789_2.00	Dmrtc2
323	M00790_2.00	Foxj2
324	M00791_2.00	Foxg1
325	M00792_2.00	Foxp2
