	Motif_ID	TF_Names
137	M00274_2.00	ENSMUSG00000097436::Gsc2::Rhox9
138	M00275_2.00	ENSMUSG00000097436::Gsc2::Rhox9
139	M00276_2.00	Pbx4
140	M00277_2.00	Pbx4
141	M00278_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
142	M00279_2.00	Dlx6::Emx1::Hesx1::Hoxb2::Lbx1::Prrxl1
143	M00280_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
144	M00281_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
145	M00282_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
146	M00283_2.00	Dlx6::Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Prrxl1::Tlx1::Tlx3
147	M00284_2.00	Dlx6::Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Prrxl1::Tlx1::Tlx3
148	M00285_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
149	M00286_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
150	M00287_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
151	M00288_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Lbx1::Prrxl1
152	M00289_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Lbx1::Prrxl1
153	M00290_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Lbx1::Prrxl1
154	M00291_2.00	Emx1::Hesx1::Hoxb2::Prrxl1
155	M00292_2.00	Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
156	M00303_2.00	Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4
157	M00304_2.00	Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4
